trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.7903599593878795}",20,0,-55.533797589397516,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.7806444574973436}",20,0,-115.77833183437139,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7707365385069352}",25,0,-86.70394606439348,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7606386445694423}",35,0,-51.41477139533846,"{0: 26, 1: 4, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7503532646636147}",25,2,-48.65728512049597,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7398829339806704}",20,3,8.052268396884559,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7292302332994068}",20,5,-50.981783399393066,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.71839778835008}",30,15,-28.099722890018512,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7073882691671998}",20,0,-105.40477468959931,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6962043894314078}",20,0,-80.28886125625948,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.6848489058005953}",25,0,-213.06456900451371,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
53,False,"{'a': 0.5, 'e': 0.6733246172304289}",20,0,-67.62577586486742,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.6616343642844501}",25,8,-38.3356269354614,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.6497810284339187}",25,0,-34.71605339661171,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.6377675313475744}",20,0,-27.553927918378815,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.625596834171489}",25,0,-91.98361440144421,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.6132719367991881}",25,0,-117.78053497503221,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.6007958771322235}",20,0,5.117791818349424,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.588171730331375}",20,0,-37.8260385507756,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.575402608058671}",20,0,-32.69684800428482,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5624916577104093}",25,0,-45.923330326478805,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5494420616413724}",20,0,-116.43500499256832,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.5362570363804242}",20,0,-53.93689599474713,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.5229398318376847}",20,0,9.32274226032591,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5094937305034755}",25,5,6.867405183461545,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.4959220466392364}",25,0,-10.475422116600173,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.4822281254606082}",20,0,-18.476147690939747,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.4684153423128892}",35,19,-35.60362589814014,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.4544871018390625}",30,0,-50.90332749814867,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.4404468371406029}",20,0,-40.49485694261166,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4262980089312688}",25,6,-46.4432967554055,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4120441046840892}",20,0,-66.44713582665987,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.39768863777175356}",20,9,-3.164867712595699,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.3832351466006183}",20,0,-121.7879948923949,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.3686871937385434}",20,0,-12.999622925504244,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.3540483650367722}",25,10,-45.81573764644375,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.33932226874607413}",30,7,-81.13923547907257,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.32451253462736473}",20,13,-12.611019069339198,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.30962281305702444}",25,0,-57.806121056509326,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.294656774127135}",25,8,-24.81064462009043,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.2796181067408583}",20,3,9.625667243859683,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.2645105177031767}",20,16,7.198043629311391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.24933773080722124}",25,11,-29.003680908675605,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.23410348591641333}",25,3,32.4372246319916,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.21881153804264364}",30,17,8.068454504308512,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.2034656564207196}",30,14,24.548777595866685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.18806962357930496}",20,15,9.201617179579317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.17262723440858363}",20,3,21.333728992128712,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.15714229522487663}",25,14,10.496014594436065,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.14161862283244164}",30,8,14.52055770724609,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.12606004358268943}",25,1,-11.081812882555425,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.11047039243104517}",20,14,10.326330071797994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.09485351199168995}",20,2,-5.858051599925452,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.07921325159041351}",20,16,6.649606920029475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.06355346631581464}",25,14,22.167469179586792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.04787801606907915}",30,16,11.0599117070429,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,16,26.96005897205033,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,7,30.245408926414573,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,7,28.01508642257368,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,15,-2.6633463388599052,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,14,24.1412287800419,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,16,29.040896492821908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,13,-72.89983668365733,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 1}",1
