trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
947,False,"{'a': 0.5, 'e': 0.08390755533054733}",20,13,13.047700149325808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.5, 'e': 0.08234298909869534}",25,8,29.057973015822736,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.5, 'e': 0.08077821989965098}",25,13,22.575818028767063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.5, 'e': 0.07921325159041329}",30,13,28.492975560110835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 0.07764808802847208}",30,13,29.27416702499209,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.5, 'e': 0.07608273307179778}",25,15,19.360868149416426,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.5, 'e': 0.07451719057883326}",35,20,29.988424814201224,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.5, 'e': 0.07295146440848362}",20,2,28.877447105033806,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.5, 'e': 0.07138555842010608}",30,22,14.035516412098717,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.5, 'e': 0.06981947647350174}",25,9,9.877555066844618,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
957,False,"{'a': 0.5, 'e': 0.06825322242890518}",30,12,-12.931262500203346,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
958,False,"{'a': 0.5, 'e': 0.06668680014697545}",20,6,26.14229909470837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.5, 'e': 0.06512021348878556}",20,12,0.8093342104688475,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 0.06355346631581442}",35,24,20.628354228257937,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.5, 'e': 0.061986562489936566}",20,5,6.262067155686491,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
962,False,"{'a': 0.5, 'e': 0.06041950587341199}",25,11,22.474208149516073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.5, 'e': 0.05885230032887797}",25,13,19.910682039141744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.5, 'e': 0.057284949719338896}",30,20,7.011264372503553,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.05571745790815604}",25,15,16.969127097198143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.5, 'e': 0.0541498287590394}",20,6,30.369299278423938,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.052582066136037484}",25,3,-16.837272002156034,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
968,False,"{'a': 0.5, 'e': 0.05101417390352715}",25,15,17.493909781614356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.04944615592620539}",25,8,29.372629347795925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,32.255628140697986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
